lambda, gamma, train error
1.0E-10, 1.0E-10, 0.4563888888888889
1.0E-10, 1.0E-9, 0.4563888888888889
1.0E-10, 1.0E-8, 0.46
1.0E-10, 1.0E-7, 0.4483333333333333
1.0E-10, 1.0E-6, 0.45180555555555557
1.0E-10, 1.0E-5, 0.45361111111111113
1.0E-10, 1.0E-4, 0.45861111111111114
1.0E-10, 0.001, 0.45444444444444443
1.0E-10, 0.01, 0.4527777777777778
1.0E-10, 0.1, 0.46
1.0E-10, 1.0, 0.46305555555555555
1.0E-9, 1.0E-10, 0.45166666666666666
1.0E-9, 1.0E-9, 0.45902777777777776
1.0E-9, 1.0E-8, 0.45666666666666667
1.0E-9, 1.0E-7, 0.4533333333333333
1.0E-9, 1.0E-6, 0.45625
1.0E-9, 1.0E-5, 0.45472222222222225
1.0E-9, 1.0E-4, 0.45513888888888887
1.0E-9, 0.001, 0.46444444444444444
1.0E-9, 0.01, 0.4513888888888889
1.0E-9, 0.1, 0.46402777777777776
1.0E-9, 1.0, 0.45805555555555555
1.0E-8, 1.0E-10, 0.4638888888888889
1.0E-8, 1.0E-9, 0.4504166666666667
1.0E-8, 1.0E-8, 0.45222222222222225
1.0E-8, 1.0E-7, 0.45472222222222225
1.0E-8, 1.0E-6, 0.4633333333333333
1.0E-8, 1.0E-5, 0.45611111111111113
1.0E-8, 1.0E-4, 0.4533333333333333
1.0E-8, 0.001, 0.4573611111111111
1.0E-8, 0.01, 0.4473611111111111
1.0E-8, 0.1, 0.46847222222222223
1.0E-8, 1.0, 0.45458333333333334
1.0E-7, 1.0E-10, 0.4534722222222222
1.0E-7, 1.0E-9, 0.45513888888888887
1.0E-7, 1.0E-8, 0.4575
1.0E-7, 1.0E-7, 0.45402777777777775
1.0E-7, 1.0E-6, 0.45152777777777775
1.0E-7, 1.0E-5, 0.45222222222222225
1.0E-7, 1.0E-4, 0.45902777777777776
1.0E-7, 0.001, 0.46305555555555555
1.0E-7, 0.01, 0.4652777777777778
1.0E-7, 0.1, 0.4576388888888889
1.0E-7, 1.0, 0.45805555555555555
1.0E-6, 1.0E-10, 0.46111111111111114
1.0E-6, 1.0E-9, 0.45319444444444446
1.0E-6, 1.0E-8, 0.45819444444444446
1.0E-6, 1.0E-7, 0.45916666666666667
1.0E-6, 1.0E-6, 0.45569444444444446
1.0E-6, 1.0E-5, 0.4579166666666667
1.0E-6, 1.0E-4, 0.4498611111111111
1.0E-6, 0.001, 0.4572222222222222
1.0E-6, 0.01, 0.45013888888888887
1.0E-6, 0.1, 0.4651388888888889
1.0E-6, 1.0, 0.4563888888888889
1.0E-5, 1.0E-10, 0.45125
1.0E-5, 1.0E-9, 0.4490277777777778
1.0E-5, 1.0E-8, 0.4552777777777778
1.0E-5, 1.0E-7, 0.44930555555555557
1.0E-5, 1.0E-6, 0.46791666666666665
1.0E-5, 1.0E-5, 0.4658333333333333
1.0E-5, 1.0E-4, 0.46055555555555555
1.0E-5, 0.001, 0.4488888888888889
1.0E-5, 0.01, 0.44722222222222224
1.0E-5, 0.1, 0.4648611111111111
1.0E-5, 1.0, 0.4676388888888889
1.0E-4, 1.0E-10, 0.4609722222222222
1.0E-4, 1.0E-9, 0.45694444444444443
1.0E-4, 1.0E-8, 0.45569444444444446
1.0E-4, 1.0E-7, 0.46402777777777776
1.0E-4, 1.0E-6, 0.44763888888888886
1.0E-4, 1.0E-5, 0.4534722222222222
1.0E-4, 1.0E-4, 0.46375
1.0E-4, 0.001, 0.45513888888888887
1.0E-4, 0.01, 0.4602777777777778
1.0E-4, 0.1, 0.45305555555555554
1.0E-4, 1.0, 0.47847222222222224
0.001, 1.0E-10, 0.45
0.001, 1.0E-9, 0.4663888888888889
0.001, 1.0E-8, 0.4558333333333333
0.001, 1.0E-7, 0.46902777777777777
0.001, 1.0E-6, 0.4509722222222222
0.001, 1.0E-5, 0.4558333333333333
0.001, 1.0E-4, 0.45861111111111114
0.001, 0.001, 0.4583333333333333
0.001, 0.01, 0.4688888888888889
0.001, 0.1, 0.47305555555555556
0.001, 1.0, 0.5619444444444445
0.01, 1.0E-10, 0.44972222222222225
0.01, 1.0E-9, 0.46847222222222223
0.01, 1.0E-8, 0.45875
0.01, 1.0E-7, 0.455
0.01, 1.0E-6, 0.45416666666666666
0.01, 1.0E-5, 0.4523611111111111
0.01, 1.0E-4, 0.4652777777777778
0.01, 0.001, 0.45819444444444446
0.01, 0.01, 0.49930555555555556
0.01, 0.1, 0.5559722222222222
0.01, 1.0, 0.6225
0.1, 1.0E-10, 0.45625
0.1, 1.0E-9, 0.44680555555555557
0.1, 1.0E-8, 0.4647222222222222
0.1, 1.0E-7, 0.45805555555555555
0.1, 1.0E-6, 0.45555555555555555
0.1, 1.0E-5, 0.46375
0.1, 1.0E-4, 0.46625
0.1, 0.001, 0.4897222222222222
0.1, 0.01, 0.5619444444444445
0.1, 0.1, 0.7159722222222222
0.1, 1.0, 0.8231944444444445
1.0, 1.0E-10, 0.45708333333333334
1.0, 1.0E-9, 0.4502777777777778
1.0, 1.0E-8, 0.45263888888888887
1.0, 1.0E-7, 0.45916666666666667
1.0, 1.0E-6, 0.4623611111111111
1.0, 1.0E-5, 0.45375
1.0, 1.0E-4, 0.5395833333333333
1.0, 0.001, 0.5944444444444444
1.0, 0.01, 0.6881944444444444
1.0, 0.1, 0.7790277777777778
1.0, 1.0, 0.8888888888888888
